number,remark,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q7,Q8.1,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_17,Q9_18,Q9_19,Q9_20,Q9_21,Q9_22,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q10_17,Q10_18,Q10_19,Q10_20,Q10_21,Q10_22,Q10_23,Q10_24,Q10_25,Q10_26,Q10_27,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q11_16,Q11_17,Q11_18,Q11_19,Q11_20,Q11_21,Q11_22,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q12_16,Q12_17,Q12_18,Q12_19,Q12_20,Q12_21,Q12_22,Q12_23,Q12_24,Q12_25,Q12_26,Q12_27,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q13_16,Q13_17,Q13_18,Q13_19,Q13_20,Q13_21,Q13_22,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_14,Q14_15,Q14_16,Q14_17,Q14_18,Q14_19,Q14_20,Q14_21,Q14_22,Q14_23,Q14_24,Q14_25,Q14_26,Q14_27,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,Q15_19,Q15_20,Q15_21,Q15_22,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q16_19,Q16_20,Q16_21,Q16_22,Q16_23,Q16_24,Q16_25,Q16_26,Q16_27,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q18_24,Q18_25,Q18_26,Q18_27,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q20,Q21,Q22,Q23a.1_1,Q23a.1_2,Q23a.1_3,Q23a.1_4,Q23a.1_5,Q23a.1_6,Q23a.1_7,Q23a.1_8,Q23a.1_9,Q23a.1_10,Q23a.1_11,Q23a.1_12,Q23a.1_13,Q23b.2_1,Q23b.2_2,Q23b.2_3,Q23b.2_4,Q23b.2_5,Q23b.2_6,Q23b.2_7,Q23b.2_8,Q23b.2_9,Q23b.2_10,Q23b.2_11,Q23b.2_12,Q23b.2_13,Q23b.3_1,Q23b.3_2,Q23b.3_3,Q23b.3_4,Q23b.3_5,Q23b.3_6,Q23b.3_7,Q23b.3_8,Q23b.3_9,Q23b.3_10,Q23b.3_11,Q23b.3_12,Q23b.3_13,Q23b.4_1,Q23b.4_2,Q23b.4_3,Q23b.4_4,Q23b.4_5,Q23b.4_6,Q23b.4_7,Q23b.4_8,Q23b.4_9,Q23b.4_10,Q23b.4_11,Q23b.4_12,Q23b.4_13,Q23b.5_1,Q23b.5_2,Q23b.5_3,Q23b.5_4,Q23b.5_5,Q23b.5_6,Q23b.5_7,Q23b.5_8,Q23b.5_9,Q23b.5_10,Q23b.5_11,Q23b.5_12,Q23b.5_13,Q23b.6_1,Q23b.6_2,Q23b.6_3,Q23b.6_4,Q23b.6_5,Q23b.6_6,Q23b.6_7,Q23b.6_8,Q23b.6_9,Q23b.6_10,Q23b.6_11,Q23b.6_12,Q23b.6_13,Q23b.7_1,Q23b.7_2,Q23b.7_3,Q23b.7_4,Q23b.7_5,Q23b.7_6,Q23b.7_7,Q23b.7_8,Q23b.7_9,Q23b.7_10,Q23b.7_11,Q23b.7_12,Q23b.7_13,Q23b.8_1,Q23b.8_2,Q23b.8_3,Q23b.8_4,Q23b.8_5,Q23b.8_6,Q23b.8_7,Q23b.8_8,Q23b.8_9,Q23b.8_10,Q23b.8_11,Q23b.8_12,Q23b.8_13,Q23c.9_1,Q23c.9_2,Q23c.9_3,Q23c.9_4,Q23c.9_5,Q23c.9_6,Q23c.9_7,Q23c.9_8,Q23c.9_9,Q23c.9_10,Q23c.9_11,Q23c.9_12,Q23c.9_13,Q23c.10_1,Q23c.10_2,Q23c.10_3,Q23c.10_4,Q23c.10_5,Q23c.10_6,Q23c.10_7,Q23c.10_8,Q23c.10_9,Q23c.10_10,Q23c.10_11,Q23c.10_12,Q23c.10_13,Q23d.11_1,Q23d.11_2,Q23d.11_3,Q23d.11_4,Q23d.11_5,Q23d.11_6,Q23d.11_7,Q23d.11_8,Q23d.11_9,Q23d.11_10,Q23d.11_11,Q23d.11_12,Q23d.11_13,Q24,Q25,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q26_10,Q26_11,Q26_12,Q26_13,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q27_11,Q27_12,Q27_13,Q28,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q32,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q34_8,Q34_9,Q34_10,Q34_11,Q34_12,Q34_13,Q34_14,Q34_15,Q35,Q36,Q37,Q38.1_1,Q38.1_2,Q38.1_3,Q38.1_4,Q38.1_5,Q38.1_6,Q38.2_1,Q38.2_2,Q38.2_3,Q38.2_4,Q38.2_5,Q38.2_6,Q40,Q41,Q42,Q46.1,Q46.2,Q46.3,Q46.4,Q44,Q45
541,买家,1,,,,,1,,,,,4,不买透明的,视客App,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,2,,6,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,7,,,,,,,1,,,,,,7,2,4,北京市,北京市,门头沟区,1,12,5
264,买家,1,,1,,,1,,1,,,4,视客,视客或淘宝,1,,,,,1,,1,,,,,,1,,,,,1,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,1,1,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,1,,,1,1,1,,,1,,,1,1,,,1,,,,1,,,,,1,,1,,,,,,2,,6,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,1,,,,,,1,,,,,1,,1,,,,,,1,,,,,1,,1,,,,,,1,,,,,1,,1,,,,,,1,,,,,1,,1,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,3,7,,,,,,,1,,1,,,,8,2,3,,,,,12,4
1793,买家,1,,,,,1,1,1,,,4,视客网,视客网,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,2,,6,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,3,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,3,7,,,,,,,1,,1,,,,7,2,4,山东省,济宁市,泗水县,6,4,5
84,买家,1,,,1,,1,,1,,,4,淘宝,视客网vx小程序,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,3,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,1,,,,,,1,,,,,1,,,,,,,,2,,6,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,1,,,,,,,4,7,,,,,,,1,,,,,,6,2,3,北京市,北京市,丰台区,1,12,4
1527,买家,1,1,,1,,,,1,,,2,视客眼镜、淘宝,视客眼镜、淘宝,1,,,,,1,1,1,,,,,1,1,,,,,1,,1,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,3,6,6,1,,,,,1,,1,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,1,,,,1,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,5,7,1,,,,,,1,,1,,1,,7,2,4,湖南省,岳阳市,汨罗市,6,12,3
1301,买家,1,,,1,,1,,1,,,2,淘宝，视客小程序,视客眼镜网,1,,,,,1,,1,,,,,,1,,,,,1,,,,,,,,,3,,,,,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,1,,,1,,1,,,,,,3,1,6,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,1,,,,,,1,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,1,,,,,,4,5,1,,,,,,1,,,,,,5,2,3,,,,,3,4
203,买家,1,1,1,1,,1,1,1,,,4,小红书,淘宝,1,1,,,,1,,,,,,1,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,2,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,1,,,1,,1,1,,,1,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,5,6,,,,,,,1,,,,,,3,2,3,湖南省,长沙市,岳麓区,2,2,2
1860,买家,1,1,,,,,,1,,,4,小红书,淘宝,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,3,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,1,1,,,,,,,,1,,,,,4,3,,,,,,,,,1,,,,6,2,4,湖南省,永州市,冷水滩区,5,7,5
203,非买家,1,,,,,1,,1,,,3,小红书,淘宝,1,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,太贵,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,5,5,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,1,,1,,1,1,,,,,,,,1,,1,,1,1,,,,,,,,1,,1,,1,1,,,,,,,,1,,1,,1,1,,,,,,,,1,,1,,1,1,,,,,,,,1,,1,,1,1,,,,,,,,1,,1,,1,1,,,,,,,,1,,1,,1,1,,,,,,,,1,3,,,,,,,,,,,,,,1,,1,,,,,,,,,3,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,3,,2,,,1,1,1,,,,,,1,,2,2,2,,,,,1,2
24,买家,1,,,,,,,1,,,3,无,淘宝,1,,1,,,1,,1,,,,1,,1,,1,,,1,,1,,,,,,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,1,,,,,,,,2,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,5,3,,,,,,,1,,,,,,4,2,2,,,,,12,3
1782,买家,1,,,,,1,,1,,1,2,我不用透明片,淘宝,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,1,,1,,,,1,,,,,,,,1,,,,,,,,1,,,1,,1,,,,,5,5,,,,,,,1,1,1,,,,3,2,4,辽宁省,大连市,甘井子区,2,12,5
1057,买家,1,,1,1,,,,1,,,2,微信、小红书,淘宝,1,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,5,5,1,,,,,,,,,,,,2,2,3,,,,,1,3
283,买家,1,,,,,,,1,,,3,网上,淘宝,1,,,,1,,,,,,,,,1,1,,,1,,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,1,1,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,4,7,1,,,,,,,,,,,,5,2,4,广西壮族自治区,南宁市,江南区,5,12,3
1697,买家,1,1,1,1,,1,,1,,,4,天猫,淘宝,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,1,,,,5,7,1,,,,,,,,,,,,7,2,4,福建省,福州市,晋安区,2,5,3
28,买家,1,,,1,,,,,1,,2,淘宝医药,淘宝,1,1,,,,,,1,,,,1,,1,,,,,,,,,,,1,,,3,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,1,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,,1,1,,1,,1,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,5,7,1,,1,,1,,1,,1,,1,,3,2,4,广东省,中山市,中山市,3,2,2
152,买家,1,1,,,,1,,,,,3,淘宝 pdd,淘宝,1,,,1,1,1,,,,,,,,1,,,,1,1,,,,,,,,,3,,,,3,3,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,5,3,1,,1,,,,,,,,,,8,2,2,北京市,北京市,朝阳区,1,10,3
